,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
340,Kamaishi,JP,39.27,141.88,36.01,80,0,6.53,clear sky
341,Saint Anthony,US,45.02,-93.22,42.01,52,1,6.93,clear sky
342,Nieuw Amsterdam,SR,5.88,-55.08,87.8,66,40,5.82,scattered clouds
343,Dudinka,RU,69.41,86.18,10.4,85,90,22.37,light snow
344,Muros,ES,42.78,-9.06,63.0,66,20,10.29,light rain
345,Kaduna,NG,10.52,7.44,83.61,24,16,5.99,few clouds
346,Galeana,MX,24.83,-100.07,66.99,51,23,1.01,few clouds
347,Orlovskiy,RU,46.87,42.06,40.68,91,64,12.64,broken clouds
348,Erenhot,CN,43.65,111.98,6.42,92,70,4.83,broken clouds
349,Nongstoin,IN,25.52,91.27,55.29,61,0,4.03,clear sky
350,Sinnamary,GF,5.38,-52.95,84.52,72,11,9.44,few clouds
351,Kuala Terengganu,MY,5.33,103.14,78.8,88,40,4.7,light rain
352,Zeya,RU,53.75,127.27,7.41,86,100,2.44,overcast clouds
353,Aberdeen,GB,57.14,-2.1,37.0,79,15,1.12,few clouds
354,Barinas,VE,8.62,-70.21,75.67,87,100,2.98,overcast clouds
355,Kodiak,US,57.79,-152.41,33.8,86,90,3.36,light snow
356,Ust-Tsilma,RU,65.44,52.15,14.95,95,87,4.63,overcast clouds
357,Koraput,IN,18.82,82.72,63.32,71,13,3.69,few clouds
358,Geraldton,AU,-28.77,114.6,62.6,67,82,12.75,broken clouds
359,Klyuchevskiy,RU,53.53,119.45,-0.54,91,74,2.53,broken clouds
360,Kentau,KZ,43.52,68.51,22.75,94,68,5.12,broken clouds
361,Chatham,GB,51.38,0.53,48.99,99,28,3.0,scattered clouds
362,Barra Do Garcas,BR,-15.89,-52.26,95.41,32,6,6.96,clear sky
363,Flin Flon,CA,54.77,-101.86,17.6,92,75,2.24,broken clouds
364,Tessalit,ML,20.2,1.01,74.55,20,81,7.56,broken clouds
365,Quatre Cocos,MU,-20.21,57.76,75.99,78,40,12.21,scattered clouds
366,Alausi,EC,-2.2,-78.83,51.75,92,97,3.15,light rain
367,Tonekabon,IR,36.82,50.87,48.2,87,40,4.79,scattered clouds
368,Aksarka,RU,66.56,67.8,4.66,93,58,9.89,broken clouds
369,Tarko-Sale,RU,64.92,77.78,-4.0,86,0,7.67,clear sky
370,Turukhansk,RU,65.82,87.98,-2.54,93,100,6.42,overcast clouds
371,Tommot,RU,58.96,126.29,1.65,91,100,7.83,overcast clouds
372,Alyangula,AU,-13.85,136.42,77.0,100,17,5.21,few clouds
373,Zhengjiatun,CN,43.51,123.51,8.67,92,100,5.19,overcast clouds
374,Kodinsk,RU,58.69,99.18,6.53,92,46,2.17,scattered clouds
375,Yeppoon,AU,-23.13,150.73,68.0,77,35,6.67,scattered clouds
376,Mayor Pablo Lagerenza,PY,-19.93,-60.77,100.13,29,20,11.68,few clouds
377,Akhmim,EG,26.56,31.75,68.0,45,0,10.29,clear sky
378,Shache,CN,38.42,77.24,23.83,87,7,4.47,clear sky
379,Half Moon Bay,US,37.46,-122.43,51.01,49,1,3.36,clear sky
380,Kampot,KH,10.62,104.18,80.6,69,40,1.12,scattered clouds
381,Devonport,AU,-41.17,146.35,53.01,94,100,4.32,light rain
382,Rawson,AR,-43.3,-65.1,61.95,43,41,14.9,scattered clouds
383,Janakpur,NP,26.72,85.91,64.47,54,0,2.77,clear sky
384,Sao Filipe,CV,14.9,-24.5,76.35,69,89,10.6,overcast clouds
385,Dubai,AE,25.26,55.3,77.0,57,0,11.41,clear sky
386,Dalaba,GN,10.7,-12.25,81.21,33,0,3.27,clear sky
387,Zhezkazgan,KZ,47.8,67.71,13.28,94,27,15.66,scattered clouds
388,Pestera,RO,44.18,28.13,28.4,100,90,5.82,fog
389,Piopio,NZ,-38.47,175.02,50.52,92,100,2.19,overcast clouds
390,Kutum,SD,14.2,24.67,69.6,24,0,11.77,clear sky
391,Wasilla,US,61.58,-149.44,37.4,47,1,19.46,clear sky
392,Oktyabrskoye,RU,43.06,44.74,23.0,92,6,4.47,clear sky
393,Beloha,MG,-25.17,45.05,74.44,80,57,15.5,broken clouds
394,Nova Vicosa,BR,-17.89,-39.37,81.05,67,28,9.53,scattered clouds
395,High Level,CA,58.52,-117.14,-7.6,91,5,4.7,smoke
396,Letterkenny,IE,54.95,-7.73,46.4,93,20,5.82,few clouds
397,Mandera,KE,3.94,41.87,91.47,33,78,7.96,broken clouds
398,Talaya,RU,61.38,152.75,-6.48,89,100,4.21,overcast clouds
399,Lavrentiya,RU,65.58,-171.0,19.6,93,100,18.41,overcast clouds
400,Tura,IN,25.52,90.22,62.64,68,0,4.07,clear sky
401,Talnakh,RU,69.49,88.4,10.4,85,90,22.37,light snow
402,Lormi,IN,22.28,81.73,64.78,58,0,4.94,clear sky
403,Syamzha,RU,60.02,41.06,18.16,96,100,7.9,overcast clouds
404,Ballina,AU,-28.87,153.57,71.6,78,35,12.75,scattered clouds
405,Pevek,RU,69.7,170.31,11.21,97,100,4.47,overcast clouds
406,Mareeba,AU,-17.0,145.43,75.2,88,75,10.29,broken clouds
407,Black River,JM,18.03,-77.85,84.0,74,20,9.17,few clouds
408,Snyder,US,32.72,-100.92,39.2,100,90,12.75,overcast clouds
409,Luganville,VU,-15.53,167.17,77.56,84,83,9.24,light rain
410,Suez,EG,29.97,32.53,64.85,52,3,4.27,clear sky
411,Prince Rupert,CA,54.32,-130.32,41.0,86,20,12.75,few clouds
412,Hobyo,SO,5.35,48.53,80.69,72,87,16.31,overcast clouds
413,Faridabad,IN,28.43,77.32,70.0,72,3,2.64,haze
414,Port Keats,AU,-14.25,129.55,82.33,71,20,5.21,few clouds
415,Takoradi,GH,4.88,-1.76,81.37,78,92,8.84,overcast clouds
416,Beira,MZ,-19.84,34.84,82.4,78,40,12.75,scattered clouds
417,Aleksandrov Gay,RU,50.15,48.57,30.51,97,76,8.97,broken clouds
418,Pachino,IT,36.72,15.09,66.0,84,82,1.01,light rain
419,Puerto Escondido,MX,15.85,-97.07,84.2,70,5,5.82,clear sky
420,Lorengau,PG,-2.02,147.27,81.77,81,46,8.93,moderate rain
421,Brae,GB,60.4,-1.35,48.2,81,62,11.41,broken clouds
422,Umm Bab,QA,25.21,50.81,75.2,53,1,5.82,clear sky
423,Soyo,AO,-6.13,12.37,78.85,83,63,8.28,broken clouds
424,Korla,CN,41.76,86.15,31.01,78,89,3.53,overcast clouds
425,Kyabe,TD,9.45,18.94,84.85,17,0,4.03,clear sky
426,Hofn,IS,64.25,-15.21,37.49,77,97,11.68,overcast clouds
427,Ternate,ID,0.8,127.4,82.06,76,88,2.93,moderate rain
428,Saint-Augustin,CA,51.23,-58.65,34.79,82,69,7.29,broken clouds
429,Sisimiut,GL,66.94,-53.67,18.5,85,73,11.86,broken clouds
430,Zarautz,ES,43.28,-2.17,60.01,72,43,1.01,scattered clouds
431,Carutapera,BR,-1.2,-46.02,86.5,66,82,9.64,broken clouds
432,Hutang,CN,31.53,119.48,37.0,95,100,4.83,overcast clouds
433,Carinhanha,BR,-14.3,-43.77,85.73,42,76,9.51,broken clouds
434,Lethem,GY,3.38,-59.8,92.88,47,26,6.98,scattered clouds
435,Kudahuvadhoo,MV,2.67,72.89,83.08,68,62,5.12,broken clouds
436,Nerchinskiy Zavod,RU,51.31,119.61,-10.59,89,32,1.48,scattered clouds
437,Nemuro,JP,43.32,145.57,34.54,83,19,14.41,few clouds
438,Brigantine,US,39.41,-74.36,57.99,50,1,13.87,clear sky
439,Aksu,CN,41.12,80.26,26.31,82,8,4.41,clear sky
440,San Cristobal,VE,7.77,-72.22,84.2,70,40,4.7,scattered clouds
441,Gazi,GR,35.33,25.07,59.0,87,20,2.24,few clouds
442,Gornopravdinsk,RU,60.05,69.9,5.16,94,0,2.91,clear sky
443,Tsumeb,NA,-19.23,17.72,79.83,48,72,11.34,broken clouds
444,Matamoros,MX,25.53,-103.25,71.6,60,40,6.53,scattered clouds
445,Ukiah,US,39.15,-123.21,50.0,44,1,1.77,clear sky
446,Rockland,US,41.17,-74.05,55.0,62,32,9.93,scattered clouds
447,Fort Nelson,CA,58.81,-122.7,-2.2,84,20,3.36,few clouds
448,Buala,SB,-8.14,159.59,81.37,74,64,3.51,broken clouds
449,Vila Franca Do Campo,PT,37.72,-25.43,57.2,54,40,16.11,scattered clouds
450,Constitucion,CL,-35.33,-72.42,65.12,55,1,15.64,clear sky
451,Luderitz,NA,-26.65,15.16,71.6,60,0,29.97,clear sky
452,Kyzyl,RU,51.7,94.45,0.59,90,74,0.47,broken clouds
453,Carauari,BR,-4.88,-66.9,87.58,72,100,3.56,moderate rain
454,Egvekinot,RU,66.32,-179.17,11.57,93,96,12.06,overcast clouds
455,Namibe,AO,-15.2,12.15,74.53,75,34,8.86,scattered clouds
456,Grand Gaube,MU,-20.01,57.66,75.99,74,9,5.99,clear sky
457,Shar,KZ,49.59,81.05,31.24,96,100,11.5,overcast clouds
458,Molchanovo,RU,57.58,83.77,7.0,95,0,4.5,clear sky
459,Fare,PF,-16.7,-151.02,80.65,76,0,0.94,clear sky
460,Devils Lake,US,48.11,-98.87,32.0,69,1,9.17,clear sky
461,Oussouye,SN,12.48,-16.55,91.4,33,0,4.7,clear sky
462,Muscat,OM,23.61,58.59,75.2,60,0,10.29,clear sky
463,Shetpe,KZ,44.17,52.12,33.33,85,0,14.72,clear sky
464,Jinchang,CN,38.5,102.17,23.23,80,91,2.08,overcast clouds
465,Kresek,ID,-6.13,106.38,82.0,69,40,6.93,scattered clouds
466,Ialibu,PG,-6.28,143.99,58.01,99,100,0.98,light rain
467,Bastrop,US,32.76,-91.87,51.8,76,1,4.7,clear sky
468,Balikpapan,ID,-1.27,116.83,78.03,88,100,4.59,overcast clouds
469,Shahr-E Kord,IR,32.33,50.86,42.8,93,90,2.24,overcast clouds
470,Nyurba,RU,63.28,118.33,-5.96,91,66,4.61,broken clouds
471,Alta Floresta,BR,-9.88,-56.09,92.86,41,45,5.08,scattered clouds
472,Iqaluit,CA,63.75,-68.51,23.0,92,75,5.82,light snow
473,Cabo San Lucas,MX,22.89,-109.91,71.6,83,40,2.24,scattered clouds
474,Marovoay,MG,-16.1,46.63,84.2,79,40,11.41,scattered clouds
475,Amberieu-En-Bugey,FR,45.96,5.34,44.6,81,0,5.82,clear sky
476,Kanker,IN,20.27,81.49,67.59,62,84,3.0,broken clouds
477,Tieli,CN,46.95,128.05,0.79,92,10,5.88,clear sky
478,Joshimath,IN,30.57,79.57,45.55,42,0,6.76,clear sky
479,Pasinler,TR,39.98,41.68,32.0,78,75,12.75,broken clouds
480,Isla Mujeres,MX,21.23,-86.73,84.2,62,75,9.17,broken clouds
481,Mishkino,RU,55.34,63.92,6.46,95,80,5.12,broken clouds
482,Walvis Bay,NA,-22.96,14.51,71.6,53,0,14.99,clear sky
483,Vestmannaeyjar,IS,63.44,-20.27,35.6,70,40,19.46,scattered clouds
484,Dakar,SN,14.69,-17.44,80.6,51,0,17.22,clear sky
485,Lubbenau,DE,51.87,13.97,39.0,76,94,1.01,overcast clouds
486,Fiumicino,IT,41.77,12.23,59.0,62,0,5.82,clear sky
487,Burdeos,PH,14.84,121.97,78.46,86,94,17.38,overcast clouds
488,Fomboni,KM,-12.28,43.74,82.22,76,10,10.8,clear sky
489,Palu,ID,-0.89,119.87,77.07,76,100,2.8,overcast clouds
490,Baglan,AF,36.13,68.71,43.18,70,0,1.5,clear sky
491,Ndele,CF,8.41,20.65,81.19,26,0,2.95,clear sky
492,Port Macquarie,AU,-31.43,152.92,64.99,88,95,10.11,overcast clouds
493,Reoti,IN,25.85,84.38,67.1,37,0,4.68,clear sky
494,Sakti,IN,22.03,82.97,67.69,49,0,3.69,clear sky
495,Vadso,NO,70.07,29.75,24.8,92,100,18.34,overcast clouds
496,Ciudad Ojeda,VE,10.2,-71.31,77.92,89,100,3.87,overcast clouds
497,Matagami,CA,49.75,-77.63,30.2,92,90,8.05,overcast clouds
498,Santa Ana,US,33.75,-117.87,64.0,13,1,6.93,clear sky
499,Cape Coast,GH,5.11,-1.25,80.96,79,99,9.62,light rain
500,Sioux Lookout,CA,50.1,-91.92,30.2,80,75,9.17,broken clouds
501,Aklavik,CA,68.22,-135.01,5.0,84,84,5.17,broken clouds
502,Labuhan,ID,-6.88,112.21,78.57,88,100,6.11,moderate rain
503,Ugoofaaru,MV,5.67,73.0,83.12,62,40,4.99,scattered clouds
504,Camopi,GF,3.17,-52.32,85.03,72,22,6.64,few clouds
505,Calbuco,CL,-41.77,-73.13,51.8,93,90,8.05,moderate rain
506,Kon Tum,VN,14.35,108.0,69.78,89,99,4.61,overcast clouds
507,Homer,US,59.64,-151.55,37.99,93,20,8.05,few clouds
508,Torbay,CA,47.67,-52.73,57.2,93,90,13.87,light intensity drizzle
509,Santa Maria,BR,-29.68,-53.81,69.8,100,90,8.05,light rain
510,Hirara,JP,24.8,125.28,69.04,76,23,24.79,few clouds
511,Qasigiannguit,GL,68.82,-51.19,10.4,51,20,4.7,few clouds
512,La Palma,US,33.85,-118.05,64.0,13,1,6.93,clear sky
513,Perry,US,37.25,-83.2,50.0,81,90,3.36,overcast clouds
514,Kimbe,PG,-5.55,150.14,76.57,86,91,3.2,overcast clouds
515,San Quintin,MX,30.48,-115.95,64.17,28,42,0.4,scattered clouds
516,Andapa,MG,-14.65,49.65,69.15,85,20,1.3,few clouds
517,Marshalltown,US,42.05,-92.91,45.0,58,1,13.87,clear sky
518,Ketchikan,US,55.34,-131.65,37.4,100,90,20.8,overcast clouds
519,Patacamaya,BO,-17.23,-67.92,61.48,34,43,6.42,light rain
520,Imbituba,BR,-28.24,-48.67,84.2,66,40,9.17,scattered clouds
521,Pacific Grove,US,36.62,-121.92,42.8,52,1,7.23,clear sky
522,Butler,US,39.45,-84.57,44.01,70,1,3.2,clear sky
523,Charlestown,AU,-32.95,151.67,75.2,64,75,10.29,broken clouds
524,Jishou,CN,28.32,109.72,39.42,83,41,0.43,scattered clouds
525,Ndola,ZM,-12.96,28.64,73.69,59,81,2.66,broken clouds
526,Amapa,BR,1.0,-52.0,83.25,81,72,4.32,broken clouds
527,Vetralla,IT,42.31,12.08,54.0,76,0,9.17,clear sky
528,Yakeshi,CN,49.28,120.73,-11.81,89,47,2.04,scattered clouds
529,Mosetse,BW,-20.75,26.65,79.84,53,94,3.38,light rain
530,Malakal,SS,9.53,31.66,81.82,19,16,5.3,few clouds
531,Vaitape,PF,-16.52,-151.75,81.34,76,2,5.68,clear sky
532,Rosetta,EG,31.4,30.42,66.2,63,40,8.05,scattered clouds
533,Guatire,VE,10.48,-66.54,80.6,83,75,2.24,broken clouds
534,Malanville,BJ,11.87,3.39,88.43,27,0,2.15,clear sky
535,Nioro,GM,13.35,-15.75,93.7,13,20,5.03,few clouds
536,Saint Paul,US,44.94,-93.09,44.01,60,1,8.99,clear sky
537,Norrtalje,SE,59.76,18.7,41.0,55,100,1.01,overcast clouds
538,Koygorodok,RU,60.45,51.0,9.19,95,0,4.74,clear sky
539,Mitu,CO,1.2,-70.17,80.08,91,100,2.1,overcast clouds
540,Muromtsevo,RU,56.37,75.24,5.7,94,26,4.79,scattered clouds
541,Kandrian,PG,-6.22,149.55,77.29,85,3,3.2,clear sky
542,Chenzhou,CN,25.8,113.03,43.54,82,100,4.05,overcast clouds
543,Ezequiel Montes,MX,20.67,-99.88,62.6,33,5,4.7,clear sky
544,Poum,NC,-20.23,164.02,75.47,76,35,13.76,scattered clouds
545,Phalodi,IN,27.13,72.37,62.58,28,0,5.23,clear sky
546,Tawang,IN,27.58,91.87,38.12,62,1,6.42,clear sky
547,Peniche,PT,39.36,-9.38,55.0,91,99,7.0,overcast clouds
548,Formiga,BR,-20.46,-45.43,79.88,57,30,7.2,light rain
549,Hayesville,US,44.99,-122.98,37.4,93,90,3.36,overcast clouds
550,Mackenzie,CA,55.3,-123.17,3.2,84,75,2.24,broken clouds
551,Adiake,CI,5.29,-3.3,82.4,83,40,5.82,scattered clouds
552,Jumla,NP,29.27,82.18,42.8,48,0,4.81,clear sky
553,Yerbogachen,RU,61.28,108.01,-13.0,89,47,3.71,scattered clouds
554,Pimentel,PE,-6.84,-79.93,73.4,64,0,17.22,clear sky
555,Manaure,CO,11.78,-72.44,85.14,69,96,15.75,overcast clouds
556,Ambovombe,MG,-25.17,46.08,74.17,91,17,14.54,few clouds
557,Zelenoborskiy,RU,66.84,32.36,19.99,100,40,7.25,scattered clouds
558,Gus-Khrustalnyy,RU,55.61,40.65,31.14,98,78,3.96,broken clouds
559,Crotone,IT,39.09,17.12,59.0,82,20,8.05,few clouds
560,Saint Pete Beach,US,27.73,-82.74,80.01,83,1,6.93,clear sky
561,El Tocuyo,VE,9.79,-69.79,73.4,100,100,1.12,overcast clouds
562,Besleney,RU,44.24,41.74,34.77,84,0,4.68,clear sky
563,Tomohon,ID,1.33,124.84,77.0,94,40,3.36,light rain
564,Atar,MR,20.52,-13.05,76.26,26,100,11.32,overcast clouds
565,Alcacer Do Sal,PT,38.37,-8.51,57.2,93,75,9.17,light rain
566,Valparaiso,CL,-33.04,-71.63,66.2,55,0,8.05,clear sky
567,Sydney,AU,-33.87,151.21,87.8,33,97,20.8,shower rain
568,Vestmanna,FO,62.16,-7.17,42.8,93,100,6.93,light intensity drizzle
569,Valley City,US,46.92,-98.0,37.4,59,1,18.34,clear sky
570,Hagere Hiywet,ET,8.98,37.85,59.2,80,77,4.16,moderate rain
571,Oxford,GB,51.75,-1.26,48.2,93,90,6.93,mist
572,Prabumulih,ID,-3.45,104.25,71.91,96,100,1.68,light rain
573,Bandarbeyla,SO,9.49,50.81,76.8,77,54,14.0,broken clouds
574,Les Escoumins,CA,48.11,-69.02,37.4,93,100,6.93,overcast clouds
575,Port Hedland,AU,-20.32,118.57,82.4,83,0,10.29,clear sky
576,Isiro,CD,2.77,27.62,69.85,95,93,0.76,light rain
577,Dergachi,RU,51.23,48.77,29.37,97,100,9.48,overcast clouds
578,Tongchuan,CN,35.08,109.09,29.28,93,7,3.22,clear sky
579,Warrnambool,AU,-38.38,142.48,59.0,95,100,32.39,light rain
580,Vardo,NO,70.37,31.11,33.91,89,100,26.75,overcast clouds
581,Flinders,AU,-34.58,150.86,82.4,45,100,12.75,overcast clouds
582,Marsaxlokk,MT,35.84,14.54,68.0,68,75,21.92,broken clouds
583,North Bend,US,43.41,-124.22,37.4,93,1,11.41,clear sky
584,Ishinomaki,JP,38.42,141.3,40.87,81,78,7.96,broken clouds
585,Manavalakurichi,IN,8.13,77.3,82.4,78,40,5.06,haze
586,Makakilo City,US,21.35,-158.09,71.6,73,1,3.36,clear sky
587,Gravdal,NO,68.12,13.5,43.11,90,100,30.87,light rain
588,Palmer,US,42.16,-72.33,50.0,76,75,5.82,broken clouds
589,Sanford,US,28.8,-81.27,80.01,61,1,9.17,clear sky
590,Lasa,IT,46.62,10.7,37.0,69,5,3.36,clear sky
591,Vytegra,RU,61.01,36.45,23.88,95,96,7.78,overcast clouds
592,Sabang,ID,5.89,95.32,78.58,85,100,11.07,overcast clouds
593,Zarichne,UA,51.81,26.13,31.24,98,100,5.41,overcast clouds
594,Sankheda,IN,22.17,73.58,71.6,60,0,5.82,haze
595,Inhambane,MZ,-23.86,35.38,78.8,78,75,9.17,broken clouds
596,Dhandhuka,IN,22.37,71.98,73.38,27,0,8.61,clear sky
597,Pangnirtung,CA,66.15,-65.71,21.2,67,90,6.93,overcast clouds
598,Mayumba,GA,-3.43,10.66,76.96,84,59,3.2,broken clouds
599,Ayan,RU,56.45,138.17,6.8,87,100,14.54,overcast clouds
600,Kyshtovka,RU,56.55,76.63,4.8,94,0,5.17,clear sky
601,Huaicheng,CN,23.91,112.19,51.84,69,1,2.82,clear sky
602,Imeni Poliny Osipenko,RU,52.42,136.49,6.24,94,100,2.86,overcast clouds
603,Cairns,AU,-16.92,145.77,75.2,88,75,10.29,broken clouds
604,Launceston,AU,-41.45,147.17,52.0,93,90,8.05,drizzle
605,Svetlyy,RU,54.67,20.13,39.2,80,75,13.42,broken clouds
606,Bulaevo,KZ,54.91,70.44,6.19,95,100,7.05,overcast clouds
607,Ikot Ekpene,NG,5.18,7.71,81.88,72,41,6.51,scattered clouds
608,Pundaguitan,PH,6.37,126.17,82.27,77,58,8.05,light rain
609,Meulaboh,ID,4.14,96.13,76.33,84,100,3.76,overcast clouds
610,Puerto Madryn,AR,-42.77,-65.04,64.65,40,33,20.18,scattered clouds
611,Atherton,GB,53.52,-2.49,46.99,83,100,1.99,overcast clouds
612,Rio Grande,BR,-32.03,-52.1,82.4,74,90,12.75,overcast clouds
613,Yanliang,CN,34.66,109.23,42.01,87,0,2.24,mist
614,Enid,US,36.4,-97.88,45.0,100,1,6.93,clear sky
615,Calderitas,MX,18.55,-88.25,84.2,74,40,11.41,scattered clouds
616,Bayir,TR,37.27,28.22,55.4,62,0,4.7,clear sky
617,Henties Bay,NA,-22.12,14.28,64.99,79,13,7.0,few clouds
618,Tevaitoa,PF,-16.78,-151.5,81.09,75,0,4.74,clear sky
619,Barcelos,PT,41.54,-8.62,60.8,63,40,16.11,light rain
620,Hastings,GB,50.86,0.57,50.0,82,37,1.01,scattered clouds
621,Vanimo,PG,-2.67,141.3,78.98,82,99,2.37,heavy intensity rain
622,Matara,LK,5.95,80.54,77.16,83,100,2.98,overcast clouds
623,Bud,US,39.45,-86.18,42.01,70,0,3.4,clear sky
624,Kirovskiy,RU,45.09,133.51,5.23,93,2,2.57,clear sky
625,Salinopolis,BR,-0.61,-47.36,85.19,70,30,13.58,light rain
626,Antalaha,MG,-14.9,50.28,74.79,81,0,6.31,clear sky
627,Acari,PE,-15.43,-74.62,83.07,39,85,10.76,overcast clouds
628,Reconquista,AR,-29.15,-59.65,90.39,58,82,10.6,moderate rain
629,La Asuncion,VE,11.03,-63.86,86.0,74,72,14.99,broken clouds
630,Ancud,CL,-41.87,-73.82,59.0,76,90,9.17,overcast clouds
631,Bayevo,RU,53.28,80.77,13.78,94,100,7.18,overcast clouds
632,Oranjestad,AW,12.52,-70.03,82.4,78,20,17.22,few clouds
633,Ambilobe,MG,-13.2,49.05,78.93,75,93,3.24,overcast clouds
634,Piranhas,BR,-16.43,-51.82,94.44,32,3,8.99,clear sky
635,Huilong,CN,31.81,121.66,46.99,82,96,8.72,overcast clouds
636,Hobe Sound,US,27.06,-80.14,81.0,57,1,5.82,clear sky
637,Botwood,CA,49.15,-55.35,51.01,90,49,3.02,scattered clouds
638,Krasnoselkup,RU,65.7,82.47,-4.58,92,62,7.74,broken clouds
639,Kidal,ML,18.44,1.41,81.91,15,3,8.12,clear sky
640,Jardim,BR,-21.48,-56.14,96.73,31,29,3.91,scattered clouds
641,Goderich,CA,43.75,-81.72,39.2,60,17,13.87,few clouds
642,Zabaykalsk,RU,49.63,117.32,-0.18,88,0,5.75,clear sky
643,Tautira,PF,-17.73,-149.15,78.8,88,75,4.7,shower rain
644,Kvitok,RU,56.07,98.48,3.9,93,0,0.69,clear sky
645,Rorvik,NO,64.86,11.24,39.61,73,59,16.04,broken clouds
646,Dalvik,IS,65.97,-18.53,33.8,59,75,11.41,broken clouds
647,Sambhar,IN,26.92,75.2,66.2,48,0,3.36,haze
648,Bonavista,CA,48.65,-53.11,54.0,100,96,5.82,light rain
649,Ucluelet,CA,48.93,-125.55,37.4,100,5,6.93,fog
650,Clonakilty,IE,51.62,-8.87,51.01,100,90,14.99,fog
651,Katangli,RU,51.71,143.23,14.56,94,100,12.97,overcast clouds
652,Harper,LR,4.38,-7.72,82.15,73,8,7.63,clear sky
653,Moche,PE,-8.17,-79.01,66.2,82,83,12.75,broken clouds
654,Saint-Francois,FR,46.42,3.91,48.2,61,0,3.38,clear sky
655,Gua Musang,MY,4.88,101.96,73.63,92,95,0.67,overcast clouds
656,Khasan,RU,42.43,130.64,25.36,83,0,16.69,clear sky
657,Kampene,CD,-3.6,26.67,71.89,91,99,2.26,moderate rain
658,Urumqi,CN,43.8,87.6,24.8,68,75,2.24,snow
659,Berdigestyakh,RU,62.1,126.7,-8.93,90,100,4.76,overcast clouds
660,Usak,TR,38.5,29.42,41.61,59,0,1.43,clear sky
661,Hornepayne,CA,49.21,-84.77,32.67,91,57,9.66,broken clouds
662,Penzance,GB,50.12,-5.54,53.6,100,100,18.34,overcast clouds
663,Binga,ZW,-17.62,27.34,81.86,58,52,4.61,broken clouds
664,Moron,AR,-34.65,-58.62,66.2,88,90,6.93,light rain
665,Komsomolskiy,UZ,40.43,71.72,33.8,80,11,0.54,mist
666,Hovd,MN,48.01,91.64,10.83,93,0,0.81,clear sky
667,Lucea,JM,18.45,-78.17,84.0,74,20,9.17,few clouds
668,Southbury,US,41.48,-73.21,54.0,70,90,4.7,overcast clouds
669,Petrozavodsk,RU,61.78,34.35,28.4,92,99,6.71,overcast clouds
670,Pedasi,PA,7.53,-80.03,81.91,75,36,8.93,light rain
671,Probolinggo,ID,-7.75,113.22,78.17,84,100,3.33,overcast clouds
672,Sanand,IN,22.98,72.38,71.6,37,0,8.05,smoke
673,Great Falls,US,47.5,-111.3,46.0,22,1,23.04,clear sky
674,Kitami,JP,43.8,143.89,33.01,74,51,8.99,broken clouds
675,Maraa,BR,-1.83,-65.37,89.26,61,30,5.55,scattered clouds
676,Beloostrov,RU,60.15,30.0,34.0,87,91,1.99,overcast clouds
677,Tuni,IN,17.35,82.55,71.87,76,7,6.93,clear sky
678,Manama,BH,26.22,50.58,77.0,69,0,10.29,clear sky
679,Ust-Nera,RU,64.57,143.2,-12.06,81,57,3.71,broken clouds
680,Kirakira,SB,-10.45,161.92,79.9,78,93,4.38,light rain
681,Lakes Entrance,AU,-37.88,147.98,61.0,96,99,6.13,overcast clouds
